Posting_Month,Plant,Cost_Category,Item_Code,Vendor,UoM,Quantity,Unit_Price_USD,Extended_Spend_USD,Incoterm,Payment_Terms,Contract_ID,PO_Number,Requester_CostCenter,GL_Code,Notes
2024-04,ATL3 (Atlanta),Logistics,Inbound_Freight,SwiftLane Logistics,shipment,182,448.66,81656.12,DAP,Net 45,C-24-017,PO331171,CC-113,512300,Pilot
2024-04,ATL3 (Atlanta),Packaging,Pallet_48x40,PalletPro,ea,1051,9.61,10100.11,DAP,Net 30,C-23-099,PO754381,CC-178,541200,Pilot
2024-04,ATL3 (Atlanta),Packaging,Void_Fill_Paper,GreenCushion,kg,1735,1.0425,1808.74,CPT,Net 30,C-24-017,PO507409,CC-191,512300,Pilot
2024-05,PHX1 (Phoenix),Packaging,Pallet_48x40,PalletPro,ea,1215,10.95,13304.25,DAP,Net 60,C-24-044,PO190963,CC-192,722100,Pilot
2024-05,PHX1 (Phoenix),Packaging,Corrugated_Box,Delta Corrugate,ea,41848,0.7521,31473.88,CPT,Net 30,C-24-031,PO278261,CC-116,541200,
2024-05,PHX1 (Phoenix),Packaging,Void_Fill_Paper,GreenCushion,kg,2368,1.3248,3137.13,CPT,Net 30,C-23-099,PO789195,CC-144,512300,Backorder
2024-05,DFW2 (Dallas),Packaging,Pallet_48x40,PalletPro,ea,1337,10.75,14372.75,FOB,Net 30,C-24-017,PO652160,CC-195,512300,Pilot
2024-05,DFW2 (Dallas),Logistics,Inbound_Freight,RoadHaul,shipment,194,460.93,89420.42,FOB,Net 30,C-24-044,PO323115,CC-137,512300,Backorder
2024-05,DFW2 (Dallas),Packaging,Void_Fill_Paper,GreenCushion,kg,2619,1.1464,3002.42,DAP,Net 60,C-23-099,PO974716,CC-116,541200,Ops adj.
2024-05,ATL3 (Atlanta),Packaging,Pallet_48x40,TimberStack,ea,1300,11.48,14924.0,DAP,Net 60,C-23-099,PO967318,CC-164,512300,Backorder
2024-05,ATL3 (Atlanta),Packaging,Void_Fill_Paper,PaperNest,kg,2207,1.1834,2611.76,CPT,Net 60,C-24-017,PO561504,CC-199,512300,Backorder
2024-05,ATL3 (Atlanta),Logistics,Inbound_Freight,RoadHaul,shipment,156,240.57,37528.92,FOB,Net 30,C-24-031,PO596493,CC-179,541200,Backorder
2024-06,PHX1 (Phoenix),Logistics,Inbound_Freight,RoadHaul,shipment,140,519.47,72725.8,DAP,Net 60,C-23-099,PO922369,CC-199,541200,Backorder
2024-06,PHX1 (Phoenix),Packaging,Void_Fill_Paper,PaperNest,kg,2492,1.2915,3218.42,FOB,Net 30,C-24-044,PO144248,CC-198,541200,Backorder
2024-06,PHX1 (Phoenix),Packaging,Pallet_48x40,TimberStack,ea,1042,10.05,10472.1,CPT,Net 30,C-24-017,PO564779,CC-141,512300,Ops adj.
2024-06,DFW2 (Dallas),Packaging,Void_Fill_Paper,GreenCushion,kg,2409,1.1459,2760.47,DAP,Net 60,C-23-099,PO632416,CC-131,611000,Backorder
2024-06,DFW2 (Dallas),Packaging,Stretch_Film,WrapCo,roll,360,59.2,21312.0,DAP,Net 30,C-23-099,PO227529,CC-150,722100,Rush
2024-06,DFW2 (Dallas),Logistics,Inbound_Freight,RoadHaul,shipment,119,313.66,37325.54,CPT,Net 30,C-23-099,PO176672,CC-127,611000,
2024-06,ATL3 (Atlanta),Packaging,Stretch_Film,WrapCo,roll,349,59.53,20775.97,CPT,Net 60,C-24-044,PO249924,CC-132,512300,Pilot
2024-06,ATL3 (Atlanta),Logistics,Inbound_Freight,RoadHaul,shipment,153,427.58,65419.74,CPT,Net 30,C-23-099,PO610929,CC-120,512300,
2024-06,ATL3 (Atlanta),Packaging,Void_Fill_Paper,GreenCushion,kg,2432,1.1335,2756.67,CPT,Net 45,C-24-044,PO541740,CC-125,611000,Rush
2024-07,PHX1 (Phoenix),Logistics,Inbound_Freight,RoadHaul,shipment,151,488.46,73757.46,CPT,Net 45,C-24-017,PO454397,CC-170,722100,Pilot
2024-07,PHX1 (Phoenix),Packaging,Stretch_Film,SecureStretch,roll,443,61.36,27182.48,FOB,Net 45,C-24-044,PO642568,CC-179,611000,Backorder
2024-07,PHX1 (Phoenix),Packaging,Corrugated_Box,BoxWorks Inc.,ea,50322,0.7853,39517.87,FOB,Net 30,C-24-017,PO188144,CC-133,611000,
2024-07,DFW2 (Dallas),Logistics,Inbound_Freight,RoadHaul,shipment,226,480.4,108570.4,DAP,Net 30,C-23-099,PO990857,CC-186,611000,Pilot
2024-07,DFW2 (Dallas),Packaging,Corrugated_Box,BoxWorks Inc.,ea,56885,0.7659,43568.22,CPT,Net 60,C-23-099,PO834440,CC-141,541200,Rush
2024-07,DFW2 (Dallas),Packaging,Stretch_Film,WrapCo,roll,303,61.01,18486.03,CPT,Net 30,C-23-099,PO175931,CC-134,541200,Ops adj.
2024-07,ATL3 (Atlanta),Logistics,Inbound_Freight,RoadHaul,shipment,126,420.36,52965.36,DAP,Net 30,C-24-031,PO169858,CC-133,541200,Pilot
2024-07,ATL3 (Atlanta),Packaging,Void_Fill_Paper,PaperNest,kg,2761,1.2586,3474.99,DAP,Net 60,C-23-099,PO380871,CC-179,512300,
2024-07,ATL3 (Atlanta),Packaging,Pallet_48x40,PalletPro,ea,1068,10.34,11043.12,FOB,Net 30,C-24-044,PO152826,CC-123,512300,Rush
2024-08,PHX1 (Phoenix),Packaging,Void_Fill_Paper,GreenCushion,kg,2190,1.229,2691.51,CPT,Net 30,C-24-044,PO567336,CC-164,512300,Rush
2024-08,PHX1 (Phoenix),Packaging,Corrugated_Box,Delta Corrugate,ea,36723,0.6833,25092.83,FOB,Net 45,C-24-017,PO116091,CC-102,512300,Backorder
2024-08,PHX1 (Phoenix),Packaging,Pallet_48x40,TimberStack,ea,818,9.67,7910.06,FOB,Net 45,C-24-017,PO790298,CC-183,722100,Ops adj.
2024-08,DFW2 (Dallas),Packaging,Stretch_Film,PolyMax,roll,330,65.38,21575.4,CPT,Net 45,C-24-044,PO821149,CC-127,512300,Rush
2024-08,DFW2 (Dallas),Packaging,Corrugated_Box,BoxWorks Inc.,ea,42467,0.716,30406.37,CPT,Net 60,C-24-031,PO524356,CC-144,541200,
2024-08,DFW2 (Dallas),Logistics,Inbound_Freight,RoadHaul,shipment,178,476.18,84760.04,FOB,Net 60,C-24-044,PO551664,CC-120,541200,
2024-08,ATL3 (Atlanta),Packaging,Void_Fill_Paper,GreenCushion,kg,2175,1.0752,2338.56,CPT,Net 60,C-24-044,PO727864,CC-131,611000,
2024-08,ATL3 (Atlanta),Packaging,Corrugated_Box,Delta Corrugate,ea,42827,0.7452,31914.68,FOB,Net 30,C-24-044,PO567480,CC-100,611000,Rush
2024-08,ATL3 (Atlanta),Logistics,Inbound_Freight,BlueStar Freight,shipment,193,369.19,71253.67,CPT,Net 45,C-24-031,PO136120,CC-139,512300,Rush
2024-09,PHX1 (Phoenix),Packaging,Corrugated_Box,BoxWorks Inc.,ea,33887,0.8019,27173.99,FOB,Net 45,C-23-099,PO187965,CC-160,611000,Backorder
2024-09,PHX1 (Phoenix),Packaging,Pallet_48x40,PalletPro,ea,1146,11.74,13454.04,FOB,Net 60,C-24-017,PO195264,CC-133,541200,
2024-09,PHX1 (Phoenix),Packaging,Stretch_Film,PolyMax,roll,275,58.42,16065.5,CPT,Net 30,C-23-099,PO123586,CC-138,611000,Ops adj.
2024-09,DFW2 (Dallas),Logistics,Inbound_Freight,RoadHaul,shipment,128,485.58,62154.24,FOB,Net 60,C-24-031,PO789484,CC-191,722100,Rush
2024-09,DFW2 (Dallas),Packaging,Corrugated_Box,SunCarton LLC,ea,21072,0.705,14855.76,DAP,Net 30,C-24-044,PO859332,CC-179,512300,
2024-09,DFW2 (Dallas),Packaging,Pallet_48x40,TimberStack,ea,1152,12.56,14469.12,CPT,Net 60,C-24-031,PO649199,CC-196,541200,Ops adj.
2024-09,ATL3 (Atlanta),Packaging,Corrugated_Box,SunCarton LLC,ea,49749,0.7574,37679.89,CPT,Net 60,C-24-031,PO189225,CC-103,541200,
2024-09,ATL3 (Atlanta),Packaging,Stretch_Film,SecureStretch,roll,332,64.14,21294.48,DAP,Net 30,C-23-099,PO976422,CC-157,541200,Ops adj.
2024-09,ATL3 (Atlanta),Logistics,Inbound_Freight,RoadHaul,shipment,106,437.4,46364.4,CPT,Net 60,C-24-031,PO613062,CC-133,541200,Pilot
2024-10,PHX1 (Phoenix),Packaging,Void_Fill_Paper,PaperNest,kg,3235,1.1612,3756.48,CPT,Net 60,C-24-017,PO791325,CC-167,541200,Ops adj.
2024-10,PHX1 (Phoenix),Logistics,Inbound_Freight,SwiftLane Logistics,shipment,206,400.66,82535.96,DAP,Net 45,C-24-017,PO987235,CC-133,512300,Ops adj.
2024-10,PHX1 (Phoenix),Packaging,Corrugated_Box,BoxWorks Inc.,ea,24831,0.7322,18181.26,FOB,Net 60,C-23-099,PO617942,CC-148,541200,Pilot
2024-10,DFW2 (Dallas),Packaging,Void_Fill_Paper,GreenCushion,kg,3179,1.2563,3993.78,FOB,Net 60,C-24-031,PO181235,CC-176,512300,Rush
2024-10,DFW2 (Dallas),Packaging,Stretch_Film,PolyMax,roll,333,54.95,18298.35,CPT,Net 60,C-24-044,PO751323,CC-172,512300,
2024-10,DFW2 (Dallas),Packaging,Corrugated_Box,Delta Corrugate,ea,56733,0.6728,38169.96,FOB,Net 45,C-24-044,PO804644,CC-112,512300,Ops adj.
2024-10,ATL3 (Atlanta),Packaging,Stretch_Film,PolyMax,roll,257,59.27,15232.39,DAP,Net 60,C-24-044,PO587234,CC-159,722100,
2024-10,ATL3 (Atlanta),Packaging,Void_Fill_Paper,PaperNest,kg,2685,1.222,3281.07,DAP,Net 30,C-23-099,PO118354,CC-137,722100,
2024-10,ATL3 (Atlanta),Packaging,Pallet_48x40,TimberStack,ea,1528,10.17,15539.76,DAP,Net 45,C-24-031,PO320944,CC-109,541200,
2024-11,PHX1 (Phoenix),Packaging,Void_Fill_Paper,GreenCushion,kg,2764,1.118,3090.15,DAP,Net 30,C-24-044,PO218150,CC-190,611000,
2024-11,PHX1 (Phoenix),Packaging,Stretch_Film,PolyMax,roll,311,47.19,14676.09,DAP,Net 45,C-24-017,PO266792,CC-100,722100,Ops adj.
2024-11,PHX1 (Phoenix),Logistics,Inbound_Freight,BlueStar Freight,shipment,187,461.92,86379.04,DAP,Net 45,C-24-031,PO536397,CC-144,722100,Rush
2024-11,DFW2 (Dallas),Logistics,Inbound_Freight,RoadHaul,shipment,195,551.11,107466.45,DAP,Net 30,C-24-044,PO887201,CC-143,722100,
2024-11,DFW2 (Dallas),Packaging,Corrugated_Box,BoxWorks Inc.,ea,54645,0.694,37923.63,CPT,Net 30,C-24-044,PO365512,CC-147,541200,Pilot
2024-11,DFW2 (Dallas),Packaging,Pallet_48x40,TimberStack,ea,950,11.7,11115.0,CPT,Net 30,C-24-044,PO548845,CC-196,611000,
2024-11,ATL3 (Atlanta),Packaging,Void_Fill_Paper,GreenCushion,kg,3290,1.0994,3617.03,FOB,Net 30,C-24-044,PO765807,CC-119,512300,Rush
2024-11,ATL3 (Atlanta),Packaging,Pallet_48x40,TimberStack,ea,813,9.87,8024.31,CPT,Net 45,C-24-031,PO910741,CC-147,722100,
2024-11,ATL3 (Atlanta),Packaging,Corrugated_Box,SunCarton LLC,ea,41305,0.6894,28475.67,DAP,Net 60,C-24-031,PO854526,CC-110,541200,Ops adj.
2024-12,PHX1 (Phoenix),Packaging,Pallet_48x40,TimberStack,ea,878,11.45,10053.1,DAP,Net 60,C-24-031,PO775797,CC-136,722100,
2024-12,PHX1 (Phoenix),Packaging,Corrugated_Box,SunCarton LLC,ea,36906,0.6964,25701.34,FOB,Net 30,C-23-099,PO535019,CC-143,611000,Rush
2024-12,PHX1 (Phoenix),Packaging,Void_Fill_Paper,GreenCushion,kg,2633,1.2594,3316.0,CPT,Net 60,C-24-044,PO525941,CC-183,512300,Rush
2024-12,DFW2 (Dallas),Logistics,Inbound_Freight,BlueStar Freight,shipment,183,421.5,77134.5,CPT,Net 60,C-23-099,PO225559,CC-121,512300,
2024-12,DFW2 (Dallas),Packaging,Void_Fill_Paper,PaperNest,kg,2106,1.1806,2486.34,CPT,Net 45,C-24-031,PO574990,CC-142,722100,Pilot
2024-12,DFW2 (Dallas),Packaging,Corrugated_Box,BoxWorks Inc.,ea,39402,0.7006,27605.04,CPT,Net 30,C-24-031,PO195121,CC-122,611000,Backorder
2024-12,ATL3 (Atlanta),Packaging,Void_Fill_Paper,PaperNest,kg,2047,1.1968,2449.85,DAP,Net 30,C-24-044,PO370907,CC-172,512300,
2024-12,ATL3 (Atlanta),Packaging,Corrugated_Box,SunCarton LLC,ea,46993,0.7403,34788.92,DAP,Net 45,C-23-099,PO882070,CC-167,512300,Pilot
2024-12,ATL3 (Atlanta),Packaging,Pallet_48x40,TimberStack,ea,1131,11.55,13063.05,DAP,Net 30,C-23-099,PO390996,CC-173,611000,
